City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa fe,-31.6333,-60.7,35.57,26,13,1.79,AR,1675702296
1,yellowknife,62.456,-114.3525,-28.58,76,0,2.06,CA,1675702472
2,rikitea,-23.1203,-134.9692,25.63,73,18,2.3,PF,1675702472
3,kapaa,22.0752,-159.319,21.17,94,16,5.83,US,1675702473
4,nhulunbuy,-12.2333,136.7667,26.34,89,100,1.54,AU,1675702473
5,hermanus,-34.4187,19.2345,25.45,75,46,6.89,ZA,1675702193
6,pevek,69.7008,170.3133,-37.89,100,99,1.73,RU,1675702474
7,carnarvon,-24.8667,113.6333,24.54,73,0,9.24,AU,1675702474
8,nikolskoye,59.7035,30.7861,-1.06,95,99,2.56,RU,1675702475
9,mar del plata,-38.0023,-57.5575,26.02,62,0,7.2,AR,1675702385
10,pisco,-13.7,-76.2167,25.03,83,0,4.12,PE,1675702476
11,esperance,-33.8667,121.9,24.07,47,50,5.0,AU,1675702476
12,alice springs,-23.7,133.8833,20.75,60,20,1.54,AU,1675702376
13,charagua,-19.8,-63.2167,30.76,40,100,4.34,BO,1675702477
14,saskylakh,71.9167,114.0833,-28.52,99,100,2.12,RU,1675702477
15,ghanzi,-21.5667,21.7833,27.12,46,100,3.51,BW,1675702477
16,bethel,41.3712,-73.414,10.2,54,0,6.69,US,1675702478
17,la tuque,47.4334,-72.7824,-9.86,62,79,3.6,CA,1675702479
18,nizhnyaya omka,55.4338,74.9426,-14.09,98,100,1.61,RU,1675702479
19,busselton,-33.65,115.3333,18.77,84,23,5.6,AU,1675702480
20,shalya,57.2471,58.7298,-10.21,98,100,0.68,RU,1675702480
21,mendoza,-32.8908,-68.8272,32.74,33,20,4.63,AR,1675702227
22,hilo,19.7297,-155.09,22.38,96,100,3.6,US,1675702480
23,longyearbyen,78.2186,15.6401,0.91,80,75,10.8,SJ,1675702377
24,fort nelson,58.8053,-122.7002,-15.59,89,75,0.45,CA,1675702483
25,hornepayne,49.2138,-84.7705,-7.4,86,71,4.41,CA,1675702484
26,akdepe,42.0551,59.3788,3.05,53,84,5.77,TM,1675702484
27,barrow,71.2906,-156.7887,-21.99,84,100,4.63,US,1675702485
28,whitehorse,60.7161,-135.0538,-5.57,86,40,7.72,CA,1675702473
29,qaanaaq,77.484,-69.3632,-26.03,98,99,2.3,GL,1675702485
30,bluff,-46.6,168.3333,15.79,69,50,8.28,NZ,1675702301
31,new norfolk,-42.7826,147.0587,12.62,64,75,0.89,AU,1675702486
32,bonavista,48.6499,-53.1147,-2.79,91,100,4.9,CA,1675702357
33,hobart,-42.8794,147.3294,12.81,77,56,1.54,AU,1675702486
34,punta arenas,-53.15,-70.9167,11.47,83,100,7.12,CL,1675702191
35,thompson,55.7435,-97.8558,-8.91,92,100,1.03,CA,1675702487
36,santa rosa,14.3122,121.1114,26.99,82,24,3.2,PH,1675702488
37,silver city,32.7701,-108.2803,9.98,34,0,7.2,US,1675702434
38,saint george,37.1041,-113.5841,5.24,76,0,3.09,US,1675702488
39,cantagallo,7.376,-73.9196,31.32,43,85,1.26,CO,1675702488
40,lavrentiya,65.5833,-171.0,-28.25,90,47,2.54,RU,1675702310
41,isangel,-19.55,169.2667,26.3,84,100,2.34,VU,1675702489
42,ust-kuyga,70.0167,135.6,-42.76,100,98,1.76,RU,1675702489
43,bacolod,10.6667,122.95,25.09,82,56,2.77,PH,1675702210
44,ushuaia,-54.8,-68.3,13.81,62,75,9.26,AR,1675702490
45,bredasdorp,-34.5322,20.0403,22.64,82,86,6.08,ZA,1675702490
46,vaini,-21.2,-175.2,22.09,100,20,0.0,TO,1675702490
47,seoul,37.5683,126.9778,-1.24,93,0,2.57,KR,1675702332
48,abu samrah,35.3029,37.1841,6.8,83,75,12.47,SY,1675702491
49,lorengau,-2.0226,147.2712,26.78,81,100,2.93,PG,1675702491
50,avarua,-21.2078,-159.775,26.03,94,20,4.63,CK,1675702492
51,tasiilaq,65.6145,-37.6368,-8.91,97,82,1.82,GL,1675702492
52,narsaq,60.9167,-46.05,-14.88,68,64,3.06,GL,1675702493
53,port alfred,-33.5906,26.891,23.99,86,6,2.68,ZA,1675702493
54,saint anthony,45.0205,-93.218,0.06,76,75,6.17,US,1675702493
55,asyut,27.181,31.1837,15.1,29,3,4.24,EG,1675702349
56,mataura,-46.1927,168.8643,15.31,56,2,3.83,NZ,1675702494
57,eureka,40.8021,-124.1637,4.23,98,67,1.36,US,1675702203
58,nogliki,51.8333,143.1667,-25.93,98,54,2.83,RU,1675702494
59,burnie,-41.0667,145.9167,13.86,73,19,5.27,AU,1675702495
60,amalapuram,16.5833,82.0167,19.83,85,83,0.22,IN,1675702495
61,dwarka,22.2394,68.9678,21.42,84,3,4.91,IN,1675702496
62,college,64.8569,-147.8028,-20.03,84,75,2.06,US,1675702498
63,atuona,-9.8,-139.0333,25.64,73,38,7.49,PF,1675702251
64,victoria,22.2855,114.1577,20.53,91,80,1.79,HK,1675702383
65,mahibadhoo,3.7833,72.9667,27.37,73,100,5.49,MV,1675702499
66,nueva loja,0.0847,-76.8828,23.01,100,75,1.54,EC,1675702500
67,albany,42.6001,-73.9662,4.65,76,100,2.24,US,1675702447
68,buraydah,26.326,43.975,22.25,22,25,3.03,SA,1675702466
69,lompoc,34.6391,-120.4579,12.23,71,0,10.73,US,1675702491
70,cabo san lucas,22.8909,-109.9124,24.47,65,7,2.21,MX,1675702501
71,swan hill,-35.3378,143.5544,17.09,64,0,3.93,AU,1675702503
72,alexander city,32.944,-85.9539,18.51,39,0,0.0,US,1675702485
73,butaritari,3.0707,172.7902,26.61,83,100,7.87,KI,1675702506
74,puerto escondido,15.85,-97.0667,28.57,53,0,2.83,MX,1675702507
75,oranjestad,12.524,-70.027,28.97,61,20,10.8,AW,1675702227
76,luderitz,-26.6481,15.1594,20.26,79,9,7.64,NA,1675702508
77,souillac,-20.5167,57.5167,27.21,78,75,3.6,MU,1675702509
78,sitka,57.0531,-135.33,2.94,87,75,2.57,US,1675702510
79,alice town,25.7167,-79.3,23.8,70,44,6.41,BS,1675702511
80,arraial do cabo,-22.9661,-42.0278,31.98,62,20,4.63,BR,1675702499
81,aitape,-3.1374,142.3475,25.07,90,100,2.04,PG,1675702513
82,fomboni,-12.28,43.7425,28.21,71,100,3.34,KM,1675702513
83,abbeville,50.1,1.8333,6.98,78,4,3.17,FR,1675702514
84,kloulklubed,7.0419,134.2556,24.28,74,100,8.37,PW,1675702515
85,hualmay,-11.0964,-77.6139,23.37,78,99,1.69,PE,1675702515
86,nantucket,41.2835,-70.0995,8.08,80,100,6.69,US,1675702516
87,aklavik,68.2191,-135.0107,-36.0,68,75,0.0,CA,1675702517
88,geraldton,-28.7667,114.6,20.23,77,75,4.12,AU,1675702519
89,ancud,-41.8697,-73.8203,16.7,62,5,3.81,CL,1675702519
90,constitucion,-35.3333,-72.4167,21.49,62,10,4.32,CL,1675702386
91,ponta do sol,32.6667,-17.1,18.34,48,7,3.31,PT,1675702345
92,oum hadjer,13.2954,19.6966,30.22,11,92,4.55,TD,1675702521
93,suez,29.9737,32.5263,13.38,51,74,6.27,EG,1675702522
94,povorino,51.1945,42.2457,-14.32,95,86,2.75,RU,1675702523
95,tuatapere,-46.1333,167.6833,15.07,75,80,3.66,NZ,1675702228
96,touros,-5.1989,-35.4608,29.85,60,45,6.13,BR,1675702333
97,lebu,-37.6167,-73.65,18.34,68,3,8.5,CL,1675702524
98,labuhan,-6.8844,112.2051,24.14,88,100,2.33,ID,1675702525
99,kapit,2.0167,112.9333,23.22,99,98,0.43,MY,1675702526
100,cape town,-33.9258,18.4232,25.51,70,20,6.17,ZA,1675702526
101,denizli,37.8402,29.0698,1.98,83,100,6.1,TR,1675702527
102,los llanos de aridane,28.6585,-17.9182,16.86,77,75,7.2,ES,1675702527
103,frontera,26.9333,-101.45,21.29,35,10,0.89,MX,1675702528
104,bira,49.0,132.4667,-22.41,100,88,1.38,RU,1675702528
105,itaituba,-4.2761,-55.9836,33.09,62,40,5.14,BR,1675702287
106,kapoeta,4.7717,33.5903,31.12,19,23,2.38,SS,1675702529
107,vao,-22.6667,167.4833,25.82,73,44,6.35,NC,1675702529
108,cherskiy,68.75,161.3,-38.02,99,100,2.41,RU,1675702323
109,acapulco,16.8634,-99.8901,27.85,59,0,2.52,MX,1675702391
110,kolokani,13.5728,-8.0339,35.46,8,77,4.04,ML,1675702530
111,ust-omchug,61.15,149.6333,-35.43,98,98,1.73,RU,1675702530
112,port blair,11.6667,92.75,26.11,79,27,2.7,IN,1675702531
113,marystown,47.1666,-55.1483,1.78,99,100,1.1,CA,1675702400
114,stornoway,58.2093,-6.3865,7.98,93,75,12.35,GB,1675702531
115,malartic,48.1335,-78.1328,-17.94,84,23,0.57,CA,1675702532
116,matara,5.9485,80.5353,24.11,89,100,1.65,LK,1675702532
117,airai,-8.9266,125.4092,15.59,95,100,0.8,TL,1675702533
118,hamilton,39.1834,-84.5333,5.68,68,20,2.06,US,1675702246
119,jinji,23.2281,110.8261,16.91,96,100,1.09,CN,1675702534
120,koraput,18.8167,82.7167,17.24,21,31,1.13,IN,1675702534
121,kitimat,54.0524,-128.6534,2.21,31,100,2.25,CA,1675702534
122,portland,45.5234,-122.6762,7.46,90,100,4.47,US,1675702471
123,rio gallegos,-51.6226,-69.2181,21.03,26,75,11.83,AR,1675702321
124,bandarbeyla,9.4942,50.8122,24.32,76,77,7.69,SO,1675702535
125,jamestown,42.097,-79.2353,-0.23,97,100,5.14,US,1675702535
126,mahbubnagar,16.7333,77.9833,23.18,38,10,2.38,IN,1675702536
127,lisakovsk,52.5369,62.4936,-20.61,100,87,2.27,KZ,1675702536
128,chuy,-33.6971,-53.4616,29.42,38,44,2.66,UY,1675702318
129,toamasina,-18.1667,49.3833,25.0,94,75,2.57,MG,1675702537
130,naryan-mar,67.6713,53.087,-18.69,97,68,4.09,RU,1675702537
